28	17	1
17	28	-1
47	43	1
43	47	-1
49	24	-1
24	49	1
54	14	-1
14	54	-1
55	48	1
48	55	-1
56	44	-1
44	56	1
59	6	1
6	59	-1
63	48	-1
48	63	-1
65	56	-1
56	65	1
87	78	-1
78	87	-1
90	58	1
58	90	-1
91	22	-1
22	91	1
91	51	-1
51	91	1
92	91	1
91	92	1
94	80	-1
80	94	-1
95	28	-1
28	95	1
96	69	-1
69	96	-1
100	10	-1
10	100	1
105	9	1
9	105	-1
106	98	-1
98	106	-1
109	59	1
59	109	-1
109	61	-1
61	109	1
111	82	-1
82	111	1
113	60	-1
60	113	1
116	98	-1
98	116	1
117	2	1
2	117	-1
119	78	1
78	119	1
120	4	-1
4	120	1
120	88	-1
88	120	-1
121	69	-1
69	121	1
121	103	1
103	121	1
123	121	-1
121	123	-1
124	7	1
7	124	1
127	106	1
106	127	-1
128	12	-1
12	128	1
130	105	1
105	130	1
134	118	-1
118	134	-1
135	50	1
50	135	-1
136	39	1
39	136	-1
142	132	1
132	142	-1
143	43	-1
43	143	1
143	109	1
109	143	-1
144	118	-1
118	144	1
147	74	-1
74	147	-1
150	78	-1
78	150	-1
150	81	1
81	150	1
151	55	1
55	151	-1
152	45	-1
45	152	1
154	21	1
21	154	-1
154	27	-1
27	154	1
155	58	-1
58	155	1
156	73	-1
73	156	1
159	132	-1
132	159	-1
160	67	1
67	160	1
160	85	1
85	160	-1
164	60	-1
60	164	-1
164	146	-1
146	164	-1
166	4	1
4	166	1
167	3	-1
3	167	-1
167	37	-1
37	167	1
169	59	-1
59	169	1
169	162	1
162	169	-1
172	130	1
130	172	-1
178	93	1
93	178	-1
179	83	1
83	179	-1
182	5	1
5	182	1
183	78	1
78	183	1
183	144	-1
144	183	1
184	40	-1
40	184	-1
186	13	1
13	186	-1
187	106	1
106	187	-1
189	74	-1
74	189	-1
190	70	-1
70	190	-1
191	5	1
5	191	-1
194	41	1
41	194	-1
194	133	1
133	194	1
197	39	1
39	197	-1
199	105	-1
105	199	-1
199	193	1
193	199	-1
201	144	1
144	201	-1
202	67	1
67	202	1
203	58	1
58	203	-1
203	122	-1
122	203	1
205	64	-1
64	205	1
209	11	1
11	209	-1
209	78	-1
78	209	-1
209	161	1
161	209	-1
210	36	-1
36	210	1
211	57	1
57	211	-1
213	167	-1
167	213	-1
216	90	1
90	216	-1
217	48	-1
48	217	-1
218	135	1
135	218	1
220	25	-1
25	220	1
220	121	-1
121	220	1
221	11	-1
11	221	1
222	95	-1
95	222	1
222	164	1
164	222	1
223	20	1
20	223	1
223	105	-1
105	223	-1
224	111	1
111	224	-1
226	5	1
5	226	1
226	110	-1
110	226	-1
227	34	-1
34	227	1
228	184	-1
184	228	1
231	114	-1
114	231	1
231	129	-1
129	231	1
232	227	1
227	232	-1
234	5	-1
5	234	1
234	157	1
157	234	-1
235	186	1
186	235	-1
236	72	-1
72	236	1
237	50	1
50	237	-1
237	147	-1
147	237	1
237	195	-1
195	237	-1
237	218	1
218	237	1
238	90	-1
90	238	1
238	203	-1
203	238	1
239	98	-1
98	239	-1
239	127	-1
127	239	1
240	121	-1
121	240	-1
242	186	-1
186	242	1
243	102	1
102	243	-1
244	67	-1
67	244	1
244	85	-1
85	244	-1
245	98	-1
98	245	1
247	42	-1
42	247	1
250	120	1
120	250	-1
250	166	1
166	250	1
251	9	-1
9	251	-1
253	108	-1
108	253	-1
254	113	-1
113	254	1
256	114	1
114	256	-1
256	173	1
173	256	-1
257	69	-1
69	257	-1
258	105	1
105	258	-1
259	252	-1
252	259	1
260	153	-1
153	260	1
261	61	1
61	261	-1
263	69	1
69	263	1
264	42	1
